--- Configuration ---
P_BEAM_WIDTH: 262144
P_EVALUATION: 3
P_SLICE: 2
P_THRESHOLD: 22
P_SN: 3
P_EN: 10
---------------------

start algo2_1
depth:   0, queue: pq.size=1, pmode=0, max:score=5/72, rid=96, fid=0
depth:   1, queue: pq.size=3, pmode=0, max:score=8/72, rid=185, fid=0
depth:   2, queue: pq.size=3, pmode=0, max:score=10/72, rid=143, fid=0
depth:   3, queue: pq.size=3, pmode=0, max:score=12/72, rid=117, fid=75
depth:   4, queue: pq.size=3, pmode=0, max:score=14/72, rid=149, fid=6
depth:   5, queue: pq.size=3, pmode=0, max:score=16/72, rid=77, fid=0
depth:   6, queue: pq.size=3, pmode=0, max:score=18/72, rid=77, fid=5
depth:   7, queue: pq.size=3, pmode=0, max:score=19/72, rid=77, fid=1
depth:   8, queue: pq.size=3, pmode=0, max:score=20/72, rid=154, fid=38
depth:   9, queue: pq.size=3, pmode=0, max:score=22/72, rid=154, fid=1112
depth:  10, queue: pq.size=3, pmode=0, max:score=24/72, rid=151, fid=10120
depth:  11, queue: pq.size=3, pmode=0, max:score=25/72, rid=96, fid=173
depth:  12, queue: pq.size=3, pmode=0, max:score=26/72, rid=96, fid=188
depth:  13, queue: pq.size=3, pmode=0, max:score=28/72, rid=32, fid=0
depth:  14, queue: pq.size=3, pmode=0, max:score=29/72, rid=167, fid=2087
depth:  15, queue: pq.size=3, pmode=0, max:score=30/72, rid=102, fid=7
depth:  16, queue: pq.size=3, pmode=0, max:score=32/72, rid=180, fid=588
depth:  17, queue: pq.size=3, pmode=0, max:score=33/72, rid=19, fid=251
depth:  18, queue: pq.size=3, pmode=0, max:score=34/72, rid=33, fid=38
depth:  19, queue: pq.size=3, pmode=0, max:score=36/72, rid=101, fid=2990
depth:  20, queue: pq.size=3, pmode=0, max:score=37/72, rid=159, fid=1724
depth:  21, queue: pq.size=3, pmode=0, max:score=38/72, rid=156, fid=1365
depth:  22, queue: pq.size=3, pmode=1, max:score=39/72, rid=53, fid=2
depth:  23, queue: pq.size=3, pmode=1, max:score=40/72, rid=315, fid=52019
depth:  24, queue: pq.size=3, pmode=1, max:score=41/72, rid=87, fid=5077
depth:  25, queue: pq.size=3, pmode=1, max:score=42/72, rid=296, fid=20493
depth:  26, queue: pq.size=3, pmode=1, max:score=43/72, rid=52, fid=14
depth:  27, queue: pq.size=3, pmode=1, max:score=44/72, rid=95, fid=2349
depth:  28, queue: pq.size=3, pmode=1, max:score=45/72, rid=94, fid=3390
depth:  29, queue: pq.size=3, pmode=1, max:score=46/72, rid=386, fid=18534
depth:  30, queue: pq.size=3, pmode=1, max:score=47/72, rid=386, fid=112344
depth:  31, queue: pq.size=3, pmode=1, max:score=48/72, rid=144, fid=1663
depth:  32, queue: pq.size=3, pmode=1, max:score=49/72, rid=471, fid=30
depth:  33, queue: pq.size=3, pmode=1, max:score=50/72, rid=163, fid=99378
depth:  34, queue: pq.size=3, pmode=1, max:score=52/72, rid=466, fid=1211
depth:  35, queue: pq.size=3, pmode=1, max:score=53/72, rid=466, fid=868
depth:  36, queue: pq.size=3, pmode=1, max:score=53/72, rid=360, fid=2558
depth:  37, queue: pq.size=3, pmode=1, max:score=54/72, rid=19, fid=8899
depth:  38, queue: pq.size=3, pmode=1, max:score=55/72, rid=187, fid=3229
depth:  39, queue: pq.size=3, pmode=1, max:score=56/72, rid=497, fid=1148
depth:  40, queue: pq.size=3, pmode=1, max:score=57/72, rid=418, fid=60
depth:  41, queue: pq.size=3, pmode=1, max:score=57/72, rid=256, fid=73
depth:  42, queue: pq.size=3, pmode=1, max:score=58/72, rid=126, fid=12428
depth:  43, queue: pq.size=3, pmode=1, max:score=59/72, rid=128, fid=1882
depth:  44, queue: pq.size=3, pmode=1, max:score=60/72, rid=35, fid=796
depth:  45, queue: pq.size=3, pmode=1, max:score=61/72, rid=255, fid=139396
depth:  46, queue: pq.size=3, pmode=1, max:score=61/72, rid=32, fid=118364
depth:  47, queue: pq.size=3, pmode=1, max:score=62/72, rid=415, fid=7051
depth:  48, queue: pq.size=3, pmode=1, max:score=62/72, rid=445, fid=300
depth:  49, queue: pq.size=3, pmode=1, max:score=63/72, rid=217, fid=24854
depth:  50, queue: pq.size=3, pmode=1, max:score=64/72, rid=269, fid=281
depth:  51, queue: pq.size=3, pmode=1, max:score=64/72, rid=58, fid=58346
depth:  52, queue: pq.size=3, pmode=1, max:score=65/72, rid=336, fid=6037
depth:  53, queue: pq.size=3, pmode=1, max:score=65/72, rid=259, fid=67
depth:  54, queue: pq.size=3, pmode=1, max:score=66/72, rid=149, fid=8363
