--- Configuration ---
P_BEAM_WIDTH: 262144
P_SLICE: 1
P_EVALUATION: 1
P_THRESHOLD: 18
P_SN: 5
P_EN: 11
---------------------

start algo2_1
depth:   0, queue: pq.size=3, pmode=0, max:score=8/72, rid=75, fid=0
depth:   1, queue: pq.size=3, pmode=0, max:score=11/72, rid=181, fid=1
depth:   2, queue: pq.size=3, pmode=0, max:score=14/72, rid=187, fid=1
depth:   3, queue: pq.size=3, pmode=0, max:score=15/72, rid=84, fid=1
depth:   4, queue: pq.size=3, pmode=0, max:score=17/72, rid=76, fid=14
depth:   5, queue: pq.size=3, pmode=0, max:score=19/72, rid=76, fid=2
depth:   6, queue: pq.size=3, pmode=0, max:score=20/72, rid=166, fid=549
depth:   7, queue: pq.size=3, pmode=0, max:score=22/72, rid=142, fid=234876
depth:   8, queue: pq.size=3, pmode=0, max:score=24/72, rid=118, fid=4777
depth:   9, queue: pq.size=3, pmode=0, max:score=25/72, rid=71, fid=650
depth:  10, queue: pq.size=3, pmode=0, max:score=28/72, rid=134, fid=16
depth:  11, queue: pq.size=3, pmode=0, max:score=29/72, rid=134, fid=3077
depth:  12, queue: pq.size=3, pmode=0, max:score=30/72, rid=79, fid=106133
depth:  13, queue: pq.size=3, pmode=0, max:score=32/72, rid=12, fid=10671
depth:  14, queue: pq.size=3, pmode=0, max:score=33/72, rid=53, fid=11
depth:  15, queue: pq.size=3, pmode=0, max:score=34/72, rid=7, fid=30
depth:  16, queue: pq.size=3, pmode=0, max:score=35/72, rid=133, fid=768
depth:  17, queue: pq.size=3, pmode=0, max:score=37/72, rid=173, fid=251
depth:  18, queue: pq.size=3, pmode=1, max:score=37/72, rid=346, fid=387
depth:  19, queue: pq.size=3, pmode=1, max:score=39/72, rid=479, fid=662
depth:  20, queue: pq.size=3, pmode=1, max:score=40/72, rid=172, fid=1
depth:  21, queue: pq.size=3, pmode=1, max:score=41/72, rid=464, fid=5
depth:  22, queue: pq.size=3, pmode=1, max:score=43/72, rid=461, fid=187942
depth:  23, queue: pq.size=3, pmode=1, max:score=44/72, rid=158, fid=1
depth:  24, queue: pq.size=3, pmode=1, max:score=45/72, rid=487, fid=8176
depth:  25, queue: pq.size=3, pmode=1, max:score=46/72, rid=280, fid=53983
depth:  26, queue: pq.size=3, pmode=1, max:score=47/72, rid=372, fid=12572
depth:  27, queue: pq.size=3, pmode=1, max:score=48/72, rid=270, fid=119092
depth:  28, queue: pq.size=3, pmode=1, max:score=49/72, rid=407, fid=27883
depth:  29, queue: pq.size=3, pmode=1, max:score=50/72, rid=407, fid=102293
depth:  30, queue: pq.size=3, pmode=1, max:score=50/72, rid=192, fid=25802
depth:  31, queue: pq.size=3, pmode=1, max:score=51/72, rid=192, fid=4266
depth:  32, queue: pq.size=3, pmode=1, max:score=52/72, rid=286, fid=7587
depth:  33, queue: pq.size=3, pmode=1, max:score=53/72, rid=154, fid=441
depth:  34, queue: pq.size=3, pmode=1, max:score=54/72, rid=450, fid=20990
depth:  35, queue: pq.size=3, pmode=1, max:score=55/72, rid=261, fid=228
depth:  36, queue: pq.size=3, pmode=1, max:score=55/72, rid=148, fid=342
depth:  37, queue: pq.size=3, pmode=1, max:score=56/72, rid=27, fid=32032
depth:  38, queue: pq.size=3, pmode=1, max:score=57/72, rid=71, fid=8456
depth:  39, queue: pq.size=3, pmode=1, max:score=58/72, rid=420, fid=40927
depth:  40, queue: pq.size=3, pmode=1, max:score=59/72, rid=65, fid=219
depth:  41, queue: pq.size=3, pmode=1, max:score=59/72, rid=138, fid=84
depth:  42, queue: pq.size=3, pmode=1, max:score=60/72, rid=229, fid=32685
depth:  43, queue: pq.size=3, pmode=1, max:score=61/72, rid=455, fid=1483
depth:  44, queue: pq.size=3, pmode=1, max:score=61/72, rid=372, fid=99687
depth:  45, queue: pq.size=3, pmode=1, max:score=62/72, rid=262, fid=538
depth:  46, queue: pq.size=3, pmode=1, max:score=62/72, rid=51, fid=2
depth:  47, queue: pq.size=3, pmode=1, max:score=63/72, rid=478, fid=1506
depth:  48, queue: pq.size=3, pmode=1, max:score=64/72, rid=490, fid=23
depth:  49, queue: pq.size=3, pmode=1, max:score=64/72, rid=7, fid=8
depth:  50, queue: pq.size=3, pmode=1, max:score=64/72, rid=153, fid=72302
depth:  51, queue: pq.size=3, pmode=1, max:score=65/72, rid=81, fid=59934
depth:  52, queue: pq.size=3, pmode=1, max:score=66/72, rid=490, fid=627
depth:  53, queue: pq.size=3, pmode=1, max:score=66/72, rid=490, fid=1844
depth:  54, queue: pq.size=3, pmode=1, max:score=66/72, rid=33, fid=326
depth:  55, queue: pq.size=3, pmode=1, max:score=67/72, rid=490, fid=102278
depth:  56, queue: pq.size=3, pmode=1, max:score=67/72, rid=11, fid=58
depth:  57, queue: pq.size=3, pmode=1, max:score=68/72, rid=159, fid=14559
depth:  58, queue: pq.size=3, pmode=1, max:score=68/72, rid=284, fid=9386
depth:  59, queue: pq.size=3, pmode=1, max:score=69/72, rid=350, fid=127695
depth:  60, queue: pq.size=3, pmode=1, max:score=69/72, rid=408, fid=126533
depth:  61, queue: pq.size=3, pmode=1, max:score=69/72, rid=438, fid=5895
depth:  62, queue: pq.size=3, pmode=1, max:score=70/72, rid=408, fid=131552
depth:  63, queue: pq.size=3, pmode=1, max:score=70/72, rid=342, fid=609
