--- Configuration ---
P_SN: 2
P_EN: 10
P_SLICE: 1
P_THRESHOLD: 20
P_EVALUATION: 1
P_BEAM_WIDTH: 524288
P_QUEUE_SIZE: 4194304
---------------------

start algo2_1
depth:   0, queue: pq.size=1, pmode=0, max:score=4/72, rid=467, fid=0
depth:   1, queue: pq.size=3, pmode=0, max:score=6/72, rid=480, fid=7
depth:   2, queue: pq.size=3, pmode=0, max:score=9/72, rid=341, fid=0
depth:   3, queue: pq.size=3, pmode=0, max:score=11/72, rid=341, fid=119
depth:   4, queue: pq.size=3, pmode=0, max:score=14/72, rid=384, fid=80
depth:   5, queue: pq.size=3, pmode=0, max:score=16/72, rid=188, fid=2
depth:   6, queue: pq.size=3, pmode=0, max:score=17/72, rid=490, fid=3630
depth:   7, queue: pq.size=3, pmode=0, max:score=19/72, rid=135, fid=390
depth:   8, queue: pq.size=3, pmode=0, max:score=21/72, rid=175, fid=8
depth:   9, queue: pq.size=3, pmode=0, max:score=23/72, rid=483, fid=3875
depth:  10, queue: pq.size=3, pmode=0, max:score=24/72, rid=401, fid=4068
depth:  11, queue: pq.size=3, pmode=0, max:score=26/72, rid=316, fid=105551
depth:  12, queue: pq.size=3, pmode=0, max:score=28/72, rid=442, fid=223303
depth:  13, queue: pq.size=3, pmode=0, max:score=30/72, rid=247, fid=0
depth:  14, queue: pq.size=3, pmode=0, max:score=31/72, rid=458, fid=1
depth:  15, queue: pq.size=3, pmode=0, max:score=32/72, rid=458, fid=4
depth:  16, queue: pq.size=3, pmode=0, max:score=34/72, rid=373, fid=11516
depth:  17, queue: pq.size=3, pmode=0, max:score=35/72, rid=195, fid=4203
depth:  18, queue: pq.size=3, pmode=0, max:score=37/72, rid=299, fid=72
depth:  19, queue: pq.size=3, pmode=0, max:score=38/72, rid=445, fid=4760
depth:  20, queue: pq.size=3, pmode=1, max:score=38/72, rid=234, fid=60305
depth:  21, queue: pq.size=3, pmode=1, max:score=39/72, rid=234, fid=103600
depth:  22, queue: pq.size=3, pmode=1, max:score=40/72, rid=198, fid=55432
depth:  23, queue: pq.size=3, pmode=1, max:score=41/72, rid=89, fid=329058
depth:  24, queue: pq.size=3, pmode=1, max:score=43/72, rid=450, fid=216206
depth:  25, queue: pq.size=3, pmode=1, max:score=44/72, rid=450, fid=324439
depth:  26, queue: pq.size=3, pmode=1, max:score=45/72, rid=244, fid=290
depth:  27, queue: pq.size=3, pmode=1, max:score=46/72, rid=92, fid=353
depth:  28, queue: pq.size=3, pmode=1, max:score=47/72, rid=48, fid=152699
depth:  29, queue: pq.size=3, pmode=1, max:score=48/72, rid=114, fid=5794
depth:  30, queue: pq.size=3, pmode=1, max:score=49/72, rid=114, fid=2626
depth:  31, queue: pq.size=3, pmode=1, max:score=50/72, rid=106, fid=4504
depth:  32, queue: pq.size=3, pmode=1, max:score=50/72, rid=62, fid=12971
depth:  33, queue: pq.size=3, pmode=1, max:score=51/72, rid=94, fid=321538
depth:  34, queue: pq.size=3, pmode=1, max:score=52/72, rid=93, fid=15129
depth:  35, queue: pq.size=3, pmode=1, max:score=53/72, rid=169, fid=1297
depth:  36, queue: pq.size=3, pmode=1, max:score=54/72, rid=330, fid=249
depth:  37, queue: pq.size=3, pmode=1, max:score=54/72, rid=330, fid=12044
depth:  38, queue: pq.size=3, pmode=1, max:score=55/72, rid=211, fid=4170
depth:  39, queue: pq.size=3, pmode=1, max:score=56/72, rid=115, fid=433
depth:  40, queue: pq.size=3, pmode=1, max:score=56/72, rid=208, fid=559
depth:  41, queue: pq.size=3, pmode=1, max:score=57/72, rid=75, fid=20656
depth:  42, queue: pq.size=3, pmode=1, max:score=58/72, rid=91, fid=1085
depth:  43, queue: pq.size=3, pmode=1, max:score=58/72, rid=93, fid=61
depth:  44, queue: pq.size=3, pmode=1, max:score=59/72, rid=75, fid=751
depth:  45, queue: pq.size=3, pmode=1, max:score=59/72, rid=39, fid=86
depth:  46, queue: pq.size=3, pmode=1, max:score=60/72, rid=170, fid=18082
depth:  47, queue: pq.size=3, pmode=1, max:score=60/72, rid=220, fid=80
depth:  48, queue: pq.size=3, pmode=1, max:score=61/72, rid=173, fid=20633
depth:  49, queue: pq.size=3, pmode=1, max:score=62/72, rid=381, fid=135
depth:  50, queue: pq.size=3, pmode=1, max:score=62/72, rid=381, fid=4391
depth:  51, queue: pq.size=3, pmode=1, max:score=63/72, rid=358, fid=254569
depth:  52, queue: pq.size=3, pmode=1, max:score=63/72, rid=71, fid=82274
depth:  53, queue: pq.size=3, pmode=1, max:score=64/72, rid=208, fid=39
depth:  54, queue: pq.size=3, pmode=1, max:score=65/72, rid=198, fid=29
depth:  55, queue: pq.size=3, pmode=1, max:score=65/72, rid=198, fid=239928
depth:  56, queue: pq.size=3, pmode=1, max:score=66/72, rid=198, fid=10608
depth:  57, queue: pq.size=3, pmode=1, max:score=66/72, rid=56, fid=310126
depth:  58, queue: pq.size=3, pmode=1, max:score=67/72, rid=146, fid=682
depth:  59, queue: pq.size=3, pmode=1, max:score=67/72, rid=5, fid=19
depth:  60, queue: pq.size=3, pmode=1, max:score=67/72, rid=451, fid=230879
depth:  61, queue: pq.size=3, pmode=1, max:score=68/72, rid=302, fid=5951
depth:  62, queue: pq.size=3, pmode=1, max:score=68/72, rid=226, fid=0
depth:  63, queue: pq.size=3, pmode=1, max:score=68/72, rid=47, fid=425
depth:  64, queue: pq.size=3, pmode=1, max:score=69/72, rid=248, fid=11627
depth:  65, queue: pq.size=3, pmode=1, max:score=69/72, rid=104, fid=20
depth:  66, queue: pq.size=3, pmode=1, max:score=69/72, rid=5, fid=3728
depth:  67, queue: pq.size=3, pmode=1, max:score=70/72, rid=439, fid=13247
depth:  68, queue: pq.size=3, pmode=1, max:score=70/72, rid=7, fid=213
depth:  69, queue: pq.size=3, pmode=1, max:score=70/72, rid=226, fid=413
depth:  70, queue: pq.size=3, pmode=1, max:score=70/72, rid=221, fid=22866
depth:  71, queue: pq.size=3, pmode=1, max:score=71/72, rid=208, fid=468547
depth:  72, queue: pq.size=3, pmode=1, max:score=71/72, rid=221, fid=86
depth:  73, queue: pq.size=3, pmode=1, max:score=71/72, rid=189, fid=1881
depth:  74, queue: pq.size=3, pmode=1, max:score=71/72, rid=71, fid=23684
depth:  75, queue: pq.size=3, pmode=1, max:score=71/72, rid=99, fid=23708
depth:  76, queue: pq.size=3, pmode=1, max:score=71/72, rid=27, fid=23226
depth:  77, queue: pq.size=3, pmode=1, max:score=72/72, rid=208, fid=5318
result size: 78


--- Performance ---
Total Execution Time: 193.566 sec
