--- Configuration ---
P_SN: 2
P_EN: 12
P_SLICE: 32
P_BEAM_WIDTH: 262144
P_THRESHOLD: 20
P_EVALUATION: 2
---------------------

start algo2_1
depth:   0, queue: pq.size=1, pmode=0, max:score=5/72, rid=19, fid=0
depth:   1, queue: pq.size=2, pmode=0, max:score=7/72, rid=19, fid=13
depth:   2, queue: pq.size=3, pmode=0, max:score=8/72, rid=12, fid=12
depth:   3, queue: pq.size=3, pmode=0, max:score=10/72, rid=12, fid=3
depth:   4, queue: pq.size=3, pmode=0, max:score=11/72, rid=12, fid=47
depth:   5, queue: pq.size=3, pmode=0, max:score=13/72, rid=20, fid=15
depth:   6, queue: pq.size=3, pmode=0, max:score=14/72, rid=20, fid=12
depth:   7, queue: pq.size=3, pmode=0, max:score=15/72, rid=12, fid=0
depth:   8, queue: pq.size=3, pmode=0, max:score=16/72, rid=3, fid=10
depth:   9, queue: pq.size=3, pmode=0, max:score=18/72, rid=17, fid=331
depth:  10, queue: pq.size=3, pmode=0, max:score=19/72, rid=19, fid=0
depth:  11, queue: pq.size=3, pmode=0, max:score=20/72, rid=9, fid=0
depth:  12, queue: pq.size=3, pmode=0, max:score=21/72, rid=2, fid=0
depth:  13, queue: pq.size=3, pmode=0, max:score=21/72, rid=16, fid=327
depth:  14, queue: pq.size=3, pmode=0, max:score=22/72, rid=6, fid=193
depth:  15, queue: pq.size=3, pmode=0, max:score=23/72, rid=17, fid=29036
depth:  16, queue: pq.size=3, pmode=0, max:score=24/72, rid=17, fid=28270
depth:  17, queue: pq.size=3, pmode=0, max:score=25/72, rid=17, fid=22641
depth:  18, queue: pq.size=3, pmode=0, max:score=26/72, rid=10, fid=8
depth:  19, queue: pq.size=3, pmode=0, max:score=26/72, rid=19, fid=242
depth:  20, queue: pq.size=3, pmode=1, max:score=27/72, rid=429, fid=1895
depth:  21, queue: pq.size=3, pmode=1, max:score=28/72, rid=429, fid=51481
depth:  22, queue: pq.size=3, pmode=1, max:score=30/72, rid=405, fid=102009
depth:  23, queue: pq.size=3, pmode=1, max:score=31/72, rid=225, fid=117
depth:  24, queue: pq.size=3, pmode=1, max:score=33/72, rid=447, fid=55866
depth:  25, queue: pq.size=3, pmode=1, max:score=34/72, rid=428, fid=130033
depth:  26, queue: pq.size=3, pmode=1, max:score=36/72, rid=296, fid=1721
depth:  27, queue: pq.size=3, pmode=1, max:score=37/72, rid=137, fid=24419
depth:  28, queue: pq.size=3, pmode=1, max:score=38/72, rid=279, fid=86802
depth:  29, queue: pq.size=3, pmode=1, max:score=40/72, rid=42, fid=787
depth:  30, queue: pq.size=3, pmode=1, max:score=41/72, rid=42, fid=5105
depth:  31, queue: pq.size=3, pmode=1, max:score=42/72, rid=195, fid=27358
depth:  32, queue: pq.size=3, pmode=1, max:score=43/72, rid=190, fid=2307
depth:  33, queue: pq.size=3, pmode=1, max:score=44/72, rid=84, fid=4255
depth:  34, queue: pq.size=3, pmode=1, max:score=45/72, rid=84, fid=3244
depth:  35, queue: pq.size=3, pmode=1, max:score=46/72, rid=190, fid=2038
depth:  36, queue: pq.size=3, pmode=1, max:score=47/72, rid=259, fid=436
