--- Configuration ---
P_SN: 4
P_EN: 10
P_SLICE: 2
P_BEAM_WIDTH: 262144
P_THRESHOLD: 22
---------------------

start algo2_1
depth:   0, queue: pq.size=2, pmode=0, max:score=4/72, rid=81, fid=0
depth:   1, queue: pq.size=3, pmode=0, max:score=6/72, rid=106, fid=78
depth:   2, queue: pq.size=3, pmode=0, max:score=9/72, rid=106, fid=38
depth:   3, queue: pq.size=3, pmode=0, max:score=10/72, rid=110, fid=553
depth:   4, queue: pq.size=3, pmode=0, max:score=13/72, rid=122, fid=34
depth:   5, queue: pq.size=3, pmode=0, max:score=14/72, rid=8, fid=20
depth:   6, queue: pq.size=3, pmode=0, max:score=16/72, rid=87, fid=2
depth:   7, queue: pq.size=3, pmode=0, max:score=18/72, rid=47, fid=62
depth:   8, queue: pq.size=3, pmode=0, max:score=19/72, rid=79, fid=548
depth:   9, queue: pq.size=3, pmode=0, max:score=21/72, rid=7, fid=70
depth:  10, queue: pq.size=3, pmode=0, max:score=23/72, rid=109, fid=11
depth:  11, queue: pq.size=3, pmode=0, max:score=24/72, rid=53, fid=5
depth:  12, queue: pq.size=3, pmode=0, max:score=26/72, rid=128, fid=8
depth:  13, queue: pq.size=3, pmode=0, max:score=27/72, rid=89, fid=508
depth:  14, queue: pq.size=3, pmode=0, max:score=29/72, rid=89, fid=191
depth:  15, queue: pq.size=3, pmode=0, max:score=30/72, rid=89, fid=2500
depth:  16, queue: pq.size=3, pmode=0, max:score=31/72, rid=57, fid=5345
depth:  17, queue: pq.size=3, pmode=0, max:score=32/72, rid=85, fid=169
depth:  18, queue: pq.size=3, pmode=0, max:score=34/72, rid=104, fid=722
depth:  19, queue: pq.size=3, pmode=0, max:score=34/72, rid=19, fid=48
depth:  20, queue: pq.size=3, pmode=0, max:score=36/72, rid=66, fid=22556
depth:  21, queue: pq.size=3, pmode=0, max:score=37/72, rid=35, fid=31
depth:  22, queue: pq.size=3, pmode=1, max:score=38/72, rid=436, fid=4534
depth:  23, queue: pq.size=3, pmode=1, max:score=39/72, rid=346, fid=51
depth:  24, queue: pq.size=3, pmode=1, max:score=41/72, rid=489, fid=57
depth:  25, queue: pq.size=3, pmode=1, max:score=42/72, rid=489, fid=372
depth:  26, queue: pq.size=3, pmode=1, max:score=43/72, rid=489, fid=935
depth:  27, queue: pq.size=3, pmode=1, max:score=44/72, rid=257, fid=160
depth:  28, queue: pq.size=3, pmode=1, max:score=45/72, rid=287, fid=542
depth:  29, queue: pq.size=3, pmode=1, max:score=46/72, rid=1, fid=846
depth:  30, queue: pq.size=3, pmode=1, max:score=47/72, rid=107, fid=3875
depth:  31, queue: pq.size=3, pmode=1, max:score=48/72, rid=107, fid=5832
depth:  32, queue: pq.size=3, pmode=1, max:score=49/72, rid=122, fid=2938
depth:  33, queue: pq.size=3, pmode=1, max:score=50/72, rid=457, fid=122225
depth:  34, queue: pq.size=3, pmode=1, max:score=51/72, rid=457, fid=259473
depth:  35, queue: pq.size=3, pmode=1, max:score=52/72, rid=222, fid=3434
depth:  36, queue: pq.size=3, pmode=1, max:score=53/72, rid=311, fid=65333
depth:  37, queue: pq.size=3, pmode=1, max:score=54/72, rid=157, fid=20884
depth:  38, queue: pq.size=3, pmode=1, max:score=55/72, rid=446, fid=262
depth:  39, queue: pq.size=3, pmode=1, max:score=57/72, rid=446, fid=166
depth:  40, queue: pq.size=3, pmode=1, max:score=57/72, rid=446, fid=29116
depth:  41, queue: pq.size=3, pmode=1, max:score=58/72, rid=208, fid=850
depth:  42, queue: pq.size=3, pmode=1, max:score=58/72, rid=96, fid=140
depth:  43, queue: pq.size=3, pmode=1, max:score=59/72, rid=308, fid=29548
depth:  44, queue: pq.size=3, pmode=1, max:score=59/72, rid=96, fid=3111
depth:  45, queue: pq.size=3, pmode=1, max:score=60/72, rid=279, fid=110247
depth:  46, queue: pq.size=3, pmode=1, max:score=61/72, rid=158, fid=4079
depth:  47, queue: pq.size=3, pmode=1, max:score=62/72, rid=199, fid=363
depth:  48, queue: pq.size=3, pmode=1, max:score=62/72, rid=228, fid=3738
depth:  49, queue: pq.size=3, pmode=1, max:score=63/72, rid=178, fid=191016
depth:  50, queue: pq.size=3, pmode=1, max:score=64/72, rid=178, fid=9095
depth:  51, queue: pq.size=3, pmode=1, max:score=65/72, rid=178, fid=13428
depth:  52, queue: pq.size=3, pmode=1, max:score=65/72, rid=178, fid=104498
depth:  53, queue: pq.size=3, pmode=1, max:score=65/72, rid=165, fid=12578
depth:  54, queue: pq.size=3, pmode=1, max:score=66/72, rid=352, fid=239002
depth:  55, queue: pq.size=3, pmode=1, max:score=66/72, rid=310, fid=259086
depth:  56, queue: pq.size=3, pmode=1, max:score=66/72, rid=45, fid=32
depth:  57, queue: pq.size=3, pmode=1, max:score=66/72, rid=124, fid=686
depth:  58, queue: pq.size=3, pmode=1, max:score=67/72, rid=310, fid=19402
depth:  59, queue: pq.size=3, pmode=1, max:score=67/72, rid=77, fid=258178
depth:  60, queue: pq.size=3, pmode=1, max:score=67/72, rid=53, fid=50
depth:  61, queue: pq.size=3, pmode=1, max:score=68/72, rid=122, fid=585
depth:  62, queue: pq.size=3, pmode=1, max:score=68/72, rid=122, fid=36661
depth:  63, queue: pq.size=3, pmode=1, max:score=68/72, rid=80, fid=129
depth:  64, queue: pq.size=3, pmode=1, max:score=69/72, rid=385, fid=7712
depth:  65, queue: pq.size=3, pmode=1, max:score=69/72, rid=385, fid=98146
depth:  66, queue: pq.size=3, pmode=1, max:score=69/72, rid=43, fid=881
depth:  67, queue: pq.size=3, pmode=1, max:score=69/72, rid=260, fid=10640
depth:  68, queue: pq.size=3, pmode=1, max:score=70/72, rid=257, fid=228876
depth:  69, queue: pq.size=3, pmode=1, max:score=70/72, rid=67, fid=4
depth:  70, queue: pq.size=3, pmode=1, max:score=71/72, rid=184, fid=88
depth:  71, queue: pq.size=3, pmode=1, max:score=71/72, rid=353, fid=10463
depth:  72, queue: pq.size=3, pmode=1, max:score=71/72, rid=5, fid=4204
depth:  73, queue: pq.size=3, pmode=1, max:score=71/72, rid=48, fid=9820
depth:  74, queue: pq.size=3, pmode=1, max:score=72/72, rid=187, fid=253424
result size: 75


--- Performance ---
Total Execution Time: 40.824 sec
