Filename,P_BEAM_WIDTH,P_EN,P_EVALUATION,P_QUEUE_SIZE,P_SLICE,P_SN,P_THRESHOLD,Result Size,Execution Time (sec),Used pmode=2
result_SN4_EN12_SLICE2_BEAM_WIDTH16384_THRESHOLD22_202603d_212936.txt,16384,12,,,2,4,22,74,5.238,False
result_SN5_EN10_SLICE2_BEAM_WIDTH16384_THRESHOLD22_202603d_213216.txt,16384,10,,,2,5,22,95,5.786,False
result_SN4_EN10_SLICE2_BEAM_WIDTH16384_THRESHOLD22_202603d_212635.txt,16384,10,,,2,4,22,73,5.876,False
result_SN5_EN12_SLICE1_BEAM_WIDTH16384_THRESHOLD22_202603d_213331.txt,16384,12,,,1,5,22,71,5.965,False
result_SN4_EN12_SLICE1_BEAM_WIDTH16384_THRESHOLD22_202603d_212808.txt,16384,12,,,1,4,22,78,6.091,False
result_SN5_EN10_SLICE1_BEAM_WIDTH16384_THRESHOLD22_202603d_213107.txt,16384,10,,,1,5,22,89,6.946,False
result_SN5_EN12_SLICE2_BEAM_WIDTH16384_THRESHOLD22_202603d_213453.txt,16384,12,,,2,5,22,101,7.048,False
result_SN4_EN10_SLICE1_BEAM_WIDTH16384_THRESHOLD22_202603d_212503.txt,16384,10,,,1,4,22,81,7.264,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN6_EN14_202603d_065227.txt,262144,14,3,,2,6,24,66,40.307,False
result_SN4_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD22_202603d_212834.txt,262144,12,,,2,4,22,68,40.807,False
result_SN4_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD22_202603d_212529.txt,262144,10,,,2,4,22,75,40.824,False
result_SN2_EN10_SLICE1_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_215739.txt,262144,10,1,,1,2,20,66,41.584,False
result_SN2_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_220456.txt,262144,10,2,,2,2,20,66,42.02,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN2_EN11_202603d_000735.txt,262144,11,3,,1,2,16,65,42.026,False
result_SN5_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD22_202603d_213354.txt,262144,12,,,2,5,22,70,42.171,False
